Bill Short Title,Status,Sponsor,Date
Criminal Code and Other Legislation (Double Jeopardy Exception and Subsequent Appeals) Amendment Bill 2023,Introduced,Hon Y D'Ath MP,29/11/2023
Criminal Code and Other Legislation (Double Jeopardy Exception and Subsequent Appeals) Amendment Bill 2023,PASSED,Hon Y D'Ath MP,6/3/2024
Criminal Code and Other Legislation (Double Jeopardy Exception and Subsequent Appeals) Amendment Bill 2023,Assent,Hon Y D'Ath MP,18/3/2024
Criminal Law (Coercive Control and Affirmative Consent) and Other Legislation Amendment Bill 2023,Introduced,Hon S Fentiman MP,11/10/2023
Criminal Law (Coercive Control and Affirmative Consent) and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon S Fentiman MP,6/3/2024
Criminal Law (Coercive Control and Affirmative Consent) and Other Legislation Amendment Bill 2023,Assent,Hon S Fentiman MP,18/3/2024
Education (General Provisions) (Extension of Primary Schools in Remote Areas) Amendment Bill 2023 *,Introduced,Mr R Katter MP,25/10/2023
Education (General Provisions) (Extension of Primary Schools in Remote Areas) Amendment Bill 2023 *,Lapsed,Mr R Katter MP,1/10/2024
Education (General Provisions) (Helping Families with School Costs) Amendment Bill 2023 *,Introduced,Dr A MacMahon MP,11/10/2023
Education (General Provisions) (Helping Families with School Costs) Amendment Bill 2023 *,2nd reading failed,Dr A MacMahon MP,10/9/2024
Emblems of Queensland and Other Legislation Amendment Bill 2023,Introduced,Hon S Hinchliffe MP,14/9/2023
Emblems of Queensland and Other Legislation Amendment Bill 2023,PASSED,Hon S Hinchliffe MP,28/11/2023
Emblems of Queensland and Other Legislation Amendment Bill 2023,Assent,Hon S Hinchliffe MP,4/12/2023
Emergency Services Reform Amendment Bill 2023,Introduced,Hon M Ryan MP,28/11/2023
Emergency Services Reform Amendment Bill 2023,PASSED,Hon M Ryan MP,2/5/2024
Emergency Services Reform Amendment Bill 2023,Assent,Hon M Ryan MP,3/5/2024
Energy (Renewable Transformation and Jobs) Bill 2023,Introduced,Hon M de Brenni MP,24/10/2023
Energy (Renewable Transformation and Jobs) Bill 2023,PASSED with amendment,Hon M de Brenni MP,18/4/2024
Energy (Renewable Transformation and Jobs) Bill 2023,Assent,Hon M de Brenni MP,26/4/2024
Forensic Science Queensland Bill 2023,Introduced,Hon S Fentiman MP,29/11/2023
Forensic Science Queensland Bill 2023,PASSED,Hon S Fentiman MP,19/3/2024
Forensic Science Queensland Bill 2023,Assent,Hon S Fentiman MP,28/3/2024
Gas Supply and Other Legislation (Hydrogen Industry Development) Amendment Bill 2023,Introduced,Hon M de Brenni MP,9/5/2023
Gas Supply and Other Legislation (Hydrogen Industry Development) Amendment Bill 2023,PASSED,Hon M de Brenni MP,10/10/2023
Gas Supply and Other Legislation (Hydrogen Industry Development) Amendment Bill 2023,Assent,Hon M de Brenni MP,19/10/2023
Health and Other Legislation Amendment Bill (No. 2) 2023,Introduced,Hon S Fentiman MP,30/11/2023
Health and Other Legislation Amendment Bill (No. 2) 2023,PASSED with amendment,Hon S Fentiman MP,7/3/2024
Health and Other Legislation Amendment Bill (No. 2) 2023,Assent,Hon S Fentiman MP,18/3/2024
Health Practitioner Regulation National Law (Surgeons) Amendment Bill 2023,Introduced,Hon Y D'Ath MP,20/4/2023
Health Practitioner Regulation National Law (Surgeons) Amendment Bill 2023,PASSED,Hon Y D'Ath MP,12/9/2023
Health Practitioner Regulation National Law (Surgeons) Amendment Bill 2023,Assent,Hon Y D'Ath MP,20/9/2023
Housing Availability and Affordability (Planning and Other Legislation Amendment) Bill 2023,Introduced,Hon Dr S Miles MP,11/10/2023
Housing Availability and Affordability (Planning and Other Legislation Amendment) Bill 2023,PASSED with amendment,Hon Dr S Miles MP,16/4/2024
Housing Availability and Affordability (Planning and Other Legislation Amendment) Bill 2023,Assent,Hon Dr S Miles MP,26/4/2024
Information Privacy and Other Legislation Amendment Bill 2023,Introduced,Hon L Enoch MP,12/10/2023
Information Privacy and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon L Enoch MP,29/11/2023
Information Privacy and Other Legislation Amendment Bill 2023,Assent,Hon L Enoch MP,4/12/2023
Integrity and Other Legislation Amendment Bill 2023,Introduced,Hon A Palaszczuk MP,16/6/2023
Integrity and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon A Palaszczuk MP,15/2/2024
Integrity and Other Legislation Amendment Bill 2023,Assent,Hon A Palaszczuk MP,19/2/2024
Justice and Other Legislation Amendment Bill 2023,Introduced,Hon Y D'Ath MP,25/5/2023
Justice and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon Y D'Ath MP,13/9/2023
Justice and Other Legislation Amendment Bill 2023,Assent,Hon Y D'Ath MP,20/9/2023
Land and Other Legislation Amendment Bill (No. 2) 2023,Introduced,Hon S Stewart MP,15/11/2023
Land and Other Legislation Amendment Bill (No. 2) 2023,PASSED,Hon S Stewart MP,16/4/2024
Land and Other Legislation Amendment Bill (No. 2) 2023,Assent,Hon S Stewart MP,26/4/2024
Land Valuation Amendment Bill 2023,Introduced,Hon S Stewart MP,23/8/2023
Land Valuation Amendment Bill 2023,Lapsed,Hon S Stewart MP,1/10/2024
Local Government (Councillor Conduct) and Other Legislation Amendment Bill 2023,Introduced,Hon Dr S Miles MP,13/9/2023
Local Government (Councillor Conduct) and Other Legislation Amendment Bill 2023,PASSED with amendment,Hon Dr S Miles MP,15/11/2023
Local Government (Councillor Conduct) and Other Legislation Amendment Bill 2023,Assent,Hon Dr S Miles MP,22/11/2023
Marine Rescue Queensland Bill 2023,Introduced,Hon M Ryan MP,28/11/2023
Marine Rescue Queensland Bill 2023,PASSED,Hon M Ryan MP,2/5/2024
Marine Rescue Queensland Bill 2023,Assent,Hon M Ryan MP,3/5/2024
Path to Treaty Bill 2023,Introduced,Hon A Palaszczuk MP,22/2/2023
Path to Treaty Bill 2023,PASSED with amendment,Hon A Palaszczuk MP,10/5/2023
Path to Treaty Bill 2023,Assent,Hon A Palaszczuk MP,17/5/2023
Pharmacy Business Ownership Bill 2023,Introduced,Hon S Fentiman MP,30/11/2023
Pharmacy Business Ownership Bill 2023,PASSED,Hon S Fentiman MP,19/3/2024
Pharmacy Business Ownership Bill 2023,Assent,Hon S Fentiman MP,28/3/2024
Planning (Inclusionary Zoning Strategy) Amendment Bill 2023 *,Introduced,Dr A MacMahon MP,19/4/2023
Planning (Inclusionary Zoning Strategy) Amendment Bill 2023 *,2nd reading failed,Dr A MacMahon MP,30/4/2024
Planning and Other Legislation (Make Developers Pay) Amendment Bill 2023 *,Introduced,Mr M Berkman MP,15/11/2023
Planning and Other Legislation (Make Developers Pay) Amendment Bill 2023 *,Lapsed,Mr M Berkman MP,1/10/2024
Police Powers and Responsibilities and Other Legislation Amendment Bill 2023,Introduced,Hon M Ryan MP,21/2/2023
Police Powers and Responsibilities and Other Legislation Amendment Bill 2023,PASSED,Hon M Ryan MP,20/4/2023
Police Powers and Responsibilities and Other Legislation Amendment Bill 2023,Assent,Hon M Ryan MP,2/5/2023
Property Law Bill 2023,Introduced,Hon S Fentiman MP,23/2/2023
Property Law Bill 2023,PASSED with amendment,Hon S Fentiman MP,25/10/2023
Property Law Bill 2023,Assent,Hon S Fentiman MP,2/11/2023
Public Records Bill 2023,Introduced,Hon L Enoch MP,12/10/2023
Public Records Bill 2023,PASSED with amendment,Hon L Enoch MP,29/11/2023
Public Records Bill 2023,Assent,Hon L Enoch MP,4/12/2023
Queensland Climate Transition Bill 2023 *,Introduced,Mr M Berkman MP,15/3/2023
Queensland Climate Transition Bill 2023 *,2nd reading failed,Mr M Berkman MP,13/2/2024
Revenue Legislation Amendment Bill 2023,Introduced,Hon C Dick MP,13/6/2023
Revenue Legislation Amendment Bill 2023,PASSED,Hon C Dick MP,16/6/2023
Revenue Legislation Amendment Bill 2023,Assent,Hon C Dick MP,23/6/2023
State Emergency Service Bill 2023,Introduced,Hon M Ryan MP,28/11/2023
State Emergency Service Bill 2023,PASSED,Hon M Ryan MP,2/5/2024
State Emergency Service Bill 2023,Assent,Hon M Ryan MP,3/5/2024
Strengthening Community Safety Bill 2023,Introduced,Hon M Ryan MP,21/2/2023
Strengthening Community Safety Bill 2023,PASSED with amendment,Hon M Ryan MP,16/3/2023
